country,year,section,total_words,negative_count,positive_count,negative_ratio,positive_ratio,net_sentiment,accession_year,chapter_number,closure_year,years_to_closure,years_to_accession
Estonia,1999,Chapter 21: Regional Policy and co-ordination of structural instruments,436,2,8,4.587155963302752,18.34862385321101,13.761467889908257,2004,21,2002.0,3.0,5
Estonia,1999,Chapter 22: Environment,1047,17,11,16.236867239732568,10.506208213944603,-5.730659025787965,2004,22,2001.0,2.0,5
Estonia,1999,Chapter 23: Consumers and health protection,98,4,1,40.816326530612244,10.204081632653061,-30.612244897959183,2004,23,1999.0,0.0,5
Estonia,1999,Chapter 24: Co-operation in the field of justice and home affairs,1018,41,10,40.27504911591355,9.823182711198427,-30.451866404715126,2004,24,2002.0,3.0,5
Estonia,1999,Chapter 25: Customs union,308,7,1,22.727272727272727,3.246753246753247,-19.48051948051948,2004,25,2002.0,3.0,5
Estonia,1999,Chapter 26: External relations,274,0,2,0.0,7.299270072992701,7.299270072992701,2004,26,2000.0,1.0,5
Estonia,1999,Chapter 27: Common Foreign and Security Policy,233,4,3,17.167381974248926,12.875536480686696,-4.29184549356223,2004,27,2000.0,1.0,5
Estonia,1999,Chapter 28: Financial Control,404,3,2,7.425742574257425,4.9504950495049505,-2.475247524752475,2004,28,2001.0,2.0,5
Estonia,2000,Chapter 1: Free movement of Goods,1213,13,17,10.717230008244023,14.014839241549877,3.297609233305854,2004,1,2000.0,0.0,4
Estonia,2000,Chapter 2: Free movement of Persons,507,4,4,7.889546351084813,7.889546351084813,0.0,2004,2,2002.0,2.0,4
Estonia,2000,Chapter 3: Freedom to provide services,929,10,14,10.764262648008613,15.069967707212056,4.305705059203444,2004,3,2001.0,1.0,4
Estonia,2000,Chapter 4: Free movement of capital,474,18,8,37.9746835443038,16.877637130801688,-21.097046413502113,2004,4,2000.0,0.0,4
Estonia,2000,Chapter 5: Company law,849,18,11,21.20141342756184,12.956419316843345,-8.244994110718494,2004,5,2000.0,0.0,4
Estonia,2000,Chapter 6: Competition policy,780,11,12,14.102564102564102,15.384615384615385,1.2820512820512828,2004,6,2001.0,1.0,4
Estonia,2000,Chapter 7: Agriculture,3127,39,32,12.472017908538534,10.233450591621363,-2.2385673169171714,2004,7,2002.0,2.0,4
Estonia,2000,Chapter 8: Fisheries,769,4,10,5.201560468140443,13.003901170351105,7.802340702210662,2004,8,2000.0,0.0,4
Estonia,2000,Chapter 9: Transport policy,1086,12,8,11.049723756906078,7.366482504604051,-3.683241252302026,2004,9,2002.0,2.0,4
